n 222, BTC size 222
0.01, 12.1726
0.0233333, 12.1067
0.0411111, 12.0197
0.0648148, 11.9048
0.0885185, 11.7911
0.112222, 11.6786
0.135926, 11.5673
0.15963, 11.4571
0.183333, 11.3481
0.207037, 11.2402
0.230741, 11.1335
0.254444, 11.0278
0.278148, 10.9233
0.301852, 10.8198
0.325556, 10.7175
0.349259, 10.6162
0.372963, 10.5159
0.396667, 10.4167
0.42037, 10.3185
0.444074, 10.2214
0.467778, 10.1252
0.491481, 10.0301
0.515185, 10
0.538889, 10
0.562593, 10
0.586296, 10
0.61, 10
0.633704, 10
0.657407, 10
0.681111, 10
0.704815, 10
0.728519, 10
0.752222, 10
0.775926, 10
0.79963, 10
0.823333, 10
0.847037, 10
0.870741, 10
0.894444, 10
0.918148, 10
0.941852, 10
0.965556, 10
0.989259, 10
1.01296, 10
1.03667, 10
1.06037, 10
1.08407, 10
1.10778, 10
1.13148, 10
1.15519, 10
1.17889, 10
1.20259, 10
1.2263, 10
1.25, 10
1.2737, 10
1.29741, 10
1.32111, 10
1.34481, 10
1.36852, 10
1.39222, 10
1.41593, 10
1.43963, 10
1.46333, 10
1.48704, 10
1.51074, 10
1.53444, 10
1.55815, 10
1.58185, 10
1.60556, 10
1.62926, 10
1.65296, 10
1.68457, 10
1.72671, 10
1.78289, 10
1.83908, 10
1.89527, 10
1.95145, 10
2.00764, 10
2.06383, 10
2.12001, 10
2.1762, 10
2.23239, 10
2.28857, 10
2.34476, 10
2.40095, 10
2.45713, 10
2.51332, 10
2.56951, 10
2.62569, 10
2.68188, 10
2.73807, 10
2.79425, 10
2.85044, 10
2.90663, 10
2.96281, 10
3.019, 10
3.07519, 10
3.13137, 10
3.18756, 10
3.24374, 10
3.29993, 10
3.35612, 10
3.4123, 10
3.46849, 10
3.52468, 10
3.58086, 10
3.63705, 10
3.69324, 10
3.74942, 10
3.80561, 10
3.8618, 10
3.91798, 10
3.97417, 10
4.03036, 10
4.08654, 10
4.14273, 10
4.19892, 10
4.2551, 10
4.31129, 10
4.36748, 10
4.42366, 10
4.47985, 10
4.53604, 10
4.59222, 10
4.64841, 10
4.7046, 10
4.76078, 10
4.81697, 10
4.87316, 10
4.92934, 10
4.98553, 10
5.04171, 10
5.0979, 10
5.15409, 10
5.21027, 10
5.26646, 10
5.32265, 10
5.37883, 10
5.43502, 10
5.49121, 10
5.54739, 10
5.60358, 10
5.65977, 10
5.71595, 10
5.77214, 10
5.82833, 10
5.88451, 10
5.9407, 10
5.99689, 10
6.05307, 10
6.10926, 10
6.16545, 10
6.22163, 10
6.27782, 10
6.33401, 10
6.39019, 10
6.44638, 10
6.50257, 10
6.55875, 10
6.61494, 10
6.67112, 10
6.72731, 10
6.7835, 10
6.83968, 10
6.89587, 10
6.95206, 10
7.00824, 10
7.06443, 10
7.12062, 10
7.1768, 10
7.23299, 10
7.28918, 10
7.34536, 10
7.40155, 10
7.45774, 10
7.51392, 10
7.57011, 10
7.6263, 10
7.68248, 10
7.73867, 10
7.79486, 10
7.85104, 10
7.90723, 10
7.96342, 10
8.0196, 10
8.07579, 10
8.13198, 10
8.18816, 10
8.24435, 10
8.30053, 10
8.35672, 10
8.41291, 10
8.46909, 10
8.52528, 10
8.58147, 10
8.63765, 10
8.69384, 10
8.75003, 10
8.80621, 10
8.8624, 10
8.91859, 10
8.97477, 10
9.03096, 10
9.08715, 10
9.14333, 10
9.19952, 10
9.25571, 10
9.31189, 10
9.36808, 10
9.42427, 10
9.48045, 10
9.53664, 10
9.59283, 10
9.64901, 10
9.7052, 10
9.76139, 10
9.81757, 10
9.87376, 10
9.92995, 10
9.98613, 10
10.0423, 10
10.0985, 10
