t, Reservoir1_Storage, t, Reservoir1_inflow, t, Reservoir2_Storage, t, Reservoir2_inflow, t, User1_Storage, t, myLink_flow, t, User_link_flow, 
0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,
0.010000, 1.477612e+01,0.010000, 0.000000e+00,0.010000, 1.521388e+01,0.010000, 0.000000e+00,0.010000, 1.000000e-02,0.010000, 2.238806e+01,0.010000, 1.000000e+00,
0.023333, 1.447959e+01,0.023333, 0.000000e+00,0.023333, 1.549708e+01,0.023333, 0.000000e+00,0.023333, 2.333332e-02,0.023333, 2.223979e+01,0.023333, 1.000000e+00,
0.041111, 1.408770e+01,0.041111, 0.000000e+00,0.041111, 1.587119e+01,0.041111, 0.000000e+00,0.041111, 4.111108e-02,0.041111, 2.204385e+01,0.041111, 1.000000e+00,
0.064815, 1.357130e+01,0.064815, 0.000000e+00,0.064815, 1.636389e+01,0.064815, 0.000000e+00,0.064815, 6.481476e-02,0.064815, 2.178565e+01,0.064815, 1.000000e+00,
0.088519, 1.306095e+01,0.088519, 0.000000e+00,0.088519, 1.685053e+01,0.088519, 0.000000e+00,0.088519, 8.851844e-02,0.088519, 2.153047e+01,0.088519, 1.000000e+00,
0.112222, 1.255657e+01,0.112222, 0.000000e+00,0.112222, 1.733120e+01,0.112222, 0.000000e+00,0.112222, 1.122221e-01,0.112222, 2.127829e+01,0.112222, 1.000000e+00,
0.135926, 1.205811e+01,0.135926, 0.000000e+00,0.135926, 1.780597e+01,0.135926, 0.000000e+00,0.135926, 1.359258e-01,0.135926, 2.102905e+01,0.135926, 1.000000e+00,
0.159630, 1.156548e+01,0.159630, 0.000000e+00,0.159630, 1.827489e+01,0.159630, 0.000000e+00,0.159630, 1.596295e-01,0.159630, 2.078274e+01,0.159630, 1.000000e+00,
0.183333, 1.107862e+01,0.183333, 0.000000e+00,0.183333, 1.873804e+01,0.183333, 0.000000e+00,0.183333, 1.833331e-01,0.183333, 2.053931e+01,0.183333, 1.000000e+00,
0.207037, 1.059747e+01,0.207037, 0.000000e+00,0.207037, 1.919550e+01,0.207037, 0.000000e+00,0.207037, 2.070368e-01,0.207037, 2.029873e+01,0.207037, 1.000000e+00,
0.230741, 1.012195e+01,0.230741, 0.000000e+00,0.230741, 1.964731e+01,0.230741, 0.000000e+00,0.230741, 2.307405e-01,0.230741, 2.006097e+01,0.230741, 1.000000e+00,
0.254444, 9.647876e+00,0.254444, 0.000000e+00,0.254444, 2.009768e+01,0.254444, 0.000000e+00,0.254444, 2.544442e-01,0.254444, 2.000000e+01,0.254444, 1.000000e+00,
0.278148, 9.173802e+00,0.278148, 0.000000e+00,0.278148, 2.054805e+01,0.278148, 0.000000e+00,0.278148, 2.781479e-01,0.278148, 2.000000e+01,0.278148, 1.000000e+00,
0.301852, 8.699728e+00,0.301852, 0.000000e+00,0.301852, 2.099842e+01,0.301852, 0.000000e+00,0.301852, 3.018516e-01,0.301852, 2.000000e+01,0.301852, 1.000000e+00,
0.325556, 8.225654e+00,0.325556, 0.000000e+00,0.325556, 2.144879e+01,0.325556, 0.000000e+00,0.325556, 3.255553e-01,0.325556, 2.000000e+01,0.325556, 1.000000e+00,
0.349259, 7.751581e+00,0.349259, 0.000000e+00,0.349259, 2.189916e+01,0.349259, 0.000000e+00,0.349259, 3.492589e-01,0.349259, 2.000000e+01,0.349259, 1.000000e+00,
0.372963, 7.277507e+00,0.372963, 0.000000e+00,0.372963, 2.234953e+01,0.372963, 0.000000e+00,0.372963, 3.729626e-01,0.372963, 2.000000e+01,0.372963, 1.000000e+00,
0.396667, 6.803433e+00,0.396667, 0.000000e+00,0.396667, 2.279990e+01,0.396667, 0.000000e+00,0.396667, 3.966663e-01,0.396667, 2.000000e+01,0.396667, 1.000000e+00,
0.420370, 6.329359e+00,0.420370, 0.000000e+00,0.420370, 2.325027e+01,0.420370, 0.000000e+00,0.420370, 4.203700e-01,0.420370, 2.000000e+01,0.420370, 1.000000e+00,
0.444074, 5.855286e+00,0.444074, 0.000000e+00,0.444074, 2.370064e+01,0.444074, 0.000000e+00,0.444074, 4.440737e-01,0.444074, 2.000000e+01,0.444074, 1.000000e+00,
0.467778, 5.381212e+00,0.467778, 0.000000e+00,0.467778, 2.415101e+01,0.467778, 0.000000e+00,0.467778, 4.677774e-01,0.467778, 2.000000e+01,0.467778, 1.000000e+00,
0.491481, 4.907138e+00,0.491481, 0.000000e+00,0.491481, 2.460138e+01,0.491481, 0.000000e+00,0.491481, 4.914811e-01,0.491481, 2.000000e+01,0.491481, 1.000000e+00,
0.515185, 4.433064e+00,0.515185, 0.000000e+00,0.515185, 2.505175e+01,0.515185, 0.000000e+00,0.515185, 5.151848e-01,0.515185, 2.000000e+01,0.515185, 1.000000e+00,
0.538889, 3.958991e+00,0.538889, 0.000000e+00,0.538889, 2.550212e+01,0.538889, 0.000000e+00,0.538889, 5.388884e-01,0.538889, 2.000000e+01,0.538889, 1.000000e+00,
0.562593, 3.484917e+00,0.562593, 0.000000e+00,0.562593, 2.595249e+01,0.562593, 0.000000e+00,0.562593, 5.625921e-01,0.562593, 2.000000e+01,0.562593, 1.000000e+00,
0.586296, 3.010843e+00,0.586296, 0.000000e+00,0.586296, 2.640286e+01,0.586296, 0.000000e+00,0.586296, 5.862958e-01,0.586296, 2.000000e+01,0.586296, 1.000000e+00,
0.610000, 2.536769e+00,0.610000, 0.000000e+00,0.610000, 2.685323e+01,0.610000, 0.000000e+00,0.610000, 6.099995e-01,0.610000, 2.000000e+01,0.610000, 1.000000e+00,
0.633704, 2.062696e+00,0.633704, 0.000000e+00,0.633704, 2.730360e+01,0.633704, 0.000000e+00,0.633704, 6.337032e-01,0.633704, 2.000000e+01,0.633704, 1.000000e+00,
0.657407, 1.588622e+00,0.657407, 0.000000e+00,0.657407, 2.775397e+01,0.657407, 0.000000e+00,0.657407, 6.574069e-01,0.657407, 2.000000e+01,0.657407, 1.000000e+00,
0.681111, 1.114548e+00,0.681111, 0.000000e+00,0.681111, 2.820434e+01,0.681111, 0.000000e+00,0.681111, 6.811106e-01,0.681111, 2.000000e+01,0.681111, 1.000000e+00,
0.704815, 6.404745e-01,0.704815, 0.000000e+00,0.704815, 2.865471e+01,0.704815, 0.000000e+00,0.704815, 7.048143e-01,0.704815, 2.000000e+01,0.704815, 1.000000e+00,
0.728519, 1.664008e-01,0.728519, 0.000000e+00,0.728519, 2.910508e+01,0.728519, 0.000000e+00,0.728519, 7.285180e-01,0.728519, 2.000000e+01,0.728519, 1.000000e+00,
0.752222, -3.076729e-01,0.752222, 0.000000e+00,0.752222, 2.955545e+01,0.752222, 0.000000e+00,0.752222, 7.522216e-01,0.752222, 2.000000e+01,0.752222, 1.000000e+00,
0.775926, 0.000000e+00,0.775926, 0.000000e+00,0.775926, 2.953175e+01,0.775926, 0.000000e+00,0.775926, 7.759253e-01,0.775926, -4.031331e-11,0.775926, 1.000000e+00,
0.807531, 0.000000e+00,0.807531, 0.000000e+00,0.807531, 2.950014e+01,0.807531, 0.000000e+00,0.807531, 8.075303e-01,0.807531, 0.000000e+00,0.807531, 1.000000e+00,
0.849671, 0.000000e+00,0.849671, 0.000000e+00,0.849671, 2.945800e+01,0.849671, 0.000000e+00,0.849671, 8.496701e-01,0.849671, 0.000000e+00,0.849671, 1.000000e+00,
0.905857, 0.000000e+00,0.905857, 0.000000e+00,0.905857, 2.940182e+01,0.905857, 0.000000e+00,0.905857, 9.058567e-01,0.905857, 0.000000e+00,0.905857, 1.000000e+00,
0.962044, 0.000000e+00,0.962044, 0.000000e+00,0.962044, 2.934563e+01,0.962044, 0.000000e+00,0.962044, 9.620432e-01,0.962044, 0.000000e+00,0.962044, 1.000000e+00,
1.018230, 0.000000e+00,1.018230, 0.000000e+00,1.018230, 2.928944e+01,1.018230, 0.000000e+00,1.018230, 1.018230e+00,1.018230, 0.000000e+00,1.018230, 1.000000e+00,
1.074417, 0.000000e+00,1.074417, 0.000000e+00,1.074417, 2.923326e+01,1.074417, 0.000000e+00,1.074417, 1.074416e+00,1.074417, 0.000000e+00,1.074417, 1.000000e+00,
1.130604, 0.000000e+00,1.130604, 0.000000e+00,1.130604, 2.917707e+01,1.130604, 0.000000e+00,1.130604, 1.130603e+00,1.130604, 0.000000e+00,1.130604, 1.000000e+00,
1.186790, 0.000000e+00,1.186790, 0.000000e+00,1.186790, 2.912088e+01,1.186790, 0.000000e+00,1.186790, 1.186789e+00,1.186790, 0.000000e+00,1.186790, 1.000000e+00,
1.242977, 0.000000e+00,1.242977, 0.000000e+00,1.242977, 2.906470e+01,1.242977, 0.000000e+00,1.242977, 1.242976e+00,1.242977, 0.000000e+00,1.242977, 1.000000e+00,
1.299163, 0.000000e+00,1.299163, 0.000000e+00,1.299163, 2.900851e+01,1.299163, 0.000000e+00,1.299163, 1.299162e+00,1.299163, 0.000000e+00,1.299163, 1.000000e+00,
1.355350, 0.000000e+00,1.355350, 0.000000e+00,1.355350, 2.895232e+01,1.355350, 0.000000e+00,1.355350, 1.355349e+00,1.355350, 0.000000e+00,1.355350, 1.000000e+00,
1.411536, 0.000000e+00,1.411536, 0.000000e+00,1.411536, 2.889614e+01,1.411536, 0.000000e+00,1.411536, 1.411535e+00,1.411536, 0.000000e+00,1.411536, 1.000000e+00,
1.467723, 0.000000e+00,1.467723, 0.000000e+00,1.467723, 2.883995e+01,1.467723, 0.000000e+00,1.467723, 1.467722e+00,1.467723, 0.000000e+00,1.467723, 1.000000e+00,
1.523909, 0.000000e+00,1.523909, 0.000000e+00,1.523909, 2.878376e+01,1.523909, 0.000000e+00,1.523909, 1.523908e+00,1.523909, 0.000000e+00,1.523909, 1.000000e+00,
1.580096, 0.000000e+00,1.580096, 0.000000e+00,1.580096, 2.872758e+01,1.580096, 0.000000e+00,1.580096, 1.580095e+00,1.580096, 0.000000e+00,1.580096, 1.000000e+00,
1.636283, 0.000000e+00,1.636283, 0.000000e+00,1.636283, 2.867139e+01,1.636283, 0.000000e+00,1.636283, 1.636281e+00,1.636283, 0.000000e+00,1.636283, 1.000000e+00,
1.692469, 0.000000e+00,1.692469, 0.000000e+00,1.692469, 2.861520e+01,1.692469, 0.000000e+00,1.692469, 1.692468e+00,1.692469, 0.000000e+00,1.692469, 1.000000e+00,
1.748656, 0.000000e+00,1.748656, 0.000000e+00,1.748656, 2.855902e+01,1.748656, 0.000000e+00,1.748656, 1.748654e+00,1.748656, 0.000000e+00,1.748656, 1.000000e+00,
1.804842, 0.000000e+00,1.804842, 0.000000e+00,1.804842, 2.850283e+01,1.804842, 0.000000e+00,1.804842, 1.804841e+00,1.804842, 0.000000e+00,1.804842, 1.000000e+00,
