t, Reservoir1_Storage, t, Reservoir1_inflow, t, Reservoir2_Storage, t, Reservoir2_inflow, t, User1_Storage, t, myLink_flow, t, User_link_flow, 
0.000000, 1.500000e+01,0.000000, 0.000000e+00,0.000000, 5.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,
0.010000, 1.488827e+01,0.010000, 1.000000e+00,0.010000, 5.111726e+00,0.010000, 0.000000e+00,0.010000, 1.000000e-02,0.010000, 1.217257e+01,0.010000, 1.000000e+00,
0.023333, 1.474018e+01,0.023333, 1.000000e+00,0.023333, 5.259816e+00,0.023333, 0.000000e+00,0.023333, 2.333332e-02,0.023333, 1.210675e+01,0.023333, 1.000000e+00,
0.041111, 1.454428e+01,0.041111, 1.000000e+00,0.041111, 5.455721e+00,0.041111, 0.000000e+00,0.041111, 4.111108e-02,0.041111, 1.201968e+01,0.041111, 1.000000e+00,
0.064815, 1.428580e+01,0.064815, 1.000000e+00,0.064815, 5.714205e+00,0.064815, 0.000000e+00,0.064815, 6.481477e-02,0.064815, 1.190480e+01,0.064815, 1.000000e+00,
0.088519, 1.403001e+01,0.088519, 1.000000e+00,0.088519, 5.969994e+00,0.088519, 0.000000e+00,0.088519, 8.851846e-02,0.088519, 1.179111e+01,0.088519, 1.000000e+00,
0.112222, 1.377688e+01,0.112222, 1.000000e+00,0.112222, 6.223117e+00,0.112222, 0.000000e+00,0.112222, 1.122221e-01,0.112222, 1.167861e+01,0.112222, 1.000000e+00,
0.135926, 1.352640e+01,0.135926, 1.000000e+00,0.135926, 6.473600e+00,0.135926, 0.000000e+00,0.135926, 1.359258e-01,0.135926, 1.156729e+01,0.135926, 1.000000e+00,
0.159630, 1.327853e+01,0.159630, 1.000000e+00,0.159630, 6.721473e+00,0.159630, 0.000000e+00,0.159630, 1.596295e-01,0.159630, 1.145712e+01,0.159630, 1.000000e+00,
0.183333, 1.303324e+01,0.183333, 1.000000e+00,0.183333, 6.966761e+00,0.183333, 0.000000e+00,0.183333, 1.833332e-01,0.183333, 1.134811e+01,0.183333, 1.000000e+00,
0.207037, 1.279051e+01,0.207037, 1.000000e+00,0.207037, 7.209492e+00,0.207037, 0.000000e+00,0.207037, 2.070369e-01,0.207037, 1.124023e+01,0.207037, 1.000000e+00,
0.230741, 1.255031e+01,0.230741, 1.000000e+00,0.230741, 7.449693e+00,0.230741, 0.000000e+00,0.230741, 2.307406e-01,0.230741, 1.113347e+01,0.230741, 1.000000e+00,
0.254444, 1.231261e+01,0.254444, 1.000000e+00,0.254444, 7.687389e+00,0.254444, 0.000000e+00,0.254444, 2.544443e-01,0.254444, 1.102783e+01,0.254444, 1.000000e+00,
0.278148, 1.207739e+01,0.278148, 1.000000e+00,0.278148, 7.922608e+00,0.278148, 0.000000e+00,0.278148, 2.781480e-01,0.278148, 1.092329e+01,0.278148, 1.000000e+00,
0.301852, 1.184463e+01,0.301852, 1.000000e+00,0.301852, 8.155374e+00,0.301852, 0.000000e+00,0.301852, 3.018517e-01,0.301852, 1.081983e+01,0.301852, 1.000000e+00,
0.325556, 1.161429e+01,0.325556, 1.000000e+00,0.325556, 8.385714e+00,0.325556, 0.000000e+00,0.325556, 3.255553e-01,0.325556, 1.071746e+01,0.325556, 1.000000e+00,
0.349259, 1.138635e+01,0.349259, 1.000000e+00,0.349259, 8.613652e+00,0.349259, 0.000000e+00,0.349259, 3.492590e-01,0.349259, 1.061615e+01,0.349259, 1.000000e+00,
0.372963, 1.116079e+01,0.372963, 1.000000e+00,0.372963, 8.839214e+00,0.372963, 0.000000e+00,0.372963, 3.729627e-01,0.372963, 1.051590e+01,0.372963, 1.000000e+00,
0.396667, 1.093758e+01,0.396667, 1.000000e+00,0.396667, 9.062425e+00,0.396667, 0.000000e+00,0.396667, 3.966664e-01,0.396667, 1.041670e+01,0.396667, 1.000000e+00,
0.420370, 1.071669e+01,0.420370, 1.000000e+00,0.420370, 9.283308e+00,0.420370, 0.000000e+00,0.420370, 4.203701e-01,0.420370, 1.031853e+01,0.420370, 1.000000e+00,
0.444074, 1.049811e+01,0.444074, 1.000000e+00,0.444074, 9.501889e+00,0.444074, 0.000000e+00,0.444074, 4.440738e-01,0.444074, 1.022138e+01,0.444074, 1.000000e+00,
0.467778, 1.028181e+01,0.467778, 1.000000e+00,0.467778, 9.718191e+00,0.467778, 0.000000e+00,0.467778, 4.677775e-01,0.467778, 1.012525e+01,0.467778, 1.000000e+00,
0.491481, 1.006776e+01,0.491481, 1.000000e+00,0.491481, 9.932238e+00,0.491481, 0.000000e+00,0.491481, 4.914812e-01,0.491481, 1.003012e+01,0.491481, 1.000000e+00,
0.515185, 9.854429e+00,0.515185, 1.000000e+00,0.515185, 1.014557e+01,0.515185, 0.000000e+00,0.515185, 5.151849e-01,0.515185, 1.000000e+01,0.515185, 1.000000e+00,
0.538889, 9.641096e+00,0.538889, 1.000000e+00,0.538889, 1.035890e+01,0.538889, 0.000000e+00,0.538889, 5.388885e-01,0.538889, 1.000000e+01,0.538889, 1.000000e+00,
